mi_sku,subcategoria,n_variantes,tipos,imagen_compartida,estado
MED-6497,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-010_img1.jpg,imagenes_variante_duplicadas
MED-6498,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-01P0_img1.jpg,imagenes_variante_duplicadas
MED-6499,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-020_img1.jpg,imagenes_variante_duplicadas
MED-6500,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-030_img1.jpg,imagenes_variante_duplicadas
MED-6501,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-040_img1.jpg,imagenes_variante_duplicadas
MED-6502,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-050_img1.jpg,imagenes_variante_duplicadas
MED-6503,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-060_img1.jpg,imagenes_variante_duplicadas
MED-6504,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-070_img1.jpg,imagenes_variante_duplicadas
MED-6505,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-080_img1.jpg,imagenes_variante_duplicadas
MED-6506,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-08L0_img1.jpg,imagenes_variante_duplicadas
MED-6507,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-090_img1.jpg,imagenes_variante_duplicadas
MED-6508,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-100_img1.jpg,imagenes_variante_duplicadas
MED-6509,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-101P0_img1.jpg,imagenes_variante_duplicadas
MED-6510,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-1060_img1.jpg,imagenes_variante_duplicadas
MED-6511,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-1080_img1.jpg,imagenes_variante_duplicadas
MED-6512,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-110_img1.jpg,imagenes_variante_duplicadas
MED-6513,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-1130_img1.jpg,imagenes_variante_duplicadas
MED-6514,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-120_img1.jpg,imagenes_variante_duplicadas
MED-6515,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-1210_img1.jpg,imagenes_variante_duplicadas
MED-6516,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-1250_img1.jpg,imagenes_variante_duplicadas
MED-6517,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-130_img1.jpg,imagenes_variante_duplicadas
MED-6518,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-1370_img1.jpg,imagenes_variante_duplicadas
MED-6519,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-137D0_img1.jpg,imagenes_variante_duplicadas
MED-6520,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-140_img1.jpg,imagenes_variante_duplicadas
