mi_sku,subcategoria,tipo,sku_ref,archivo_actual,familia_duplicada
MED-6497,spo2_direct_connect_sensors,Adult Clip,S410-010,direct-connect-spo2-sensors/S410-010_img1.jpg,si
MED-6497,spo2_direct_connect_sensors,Adult Soft,S410S-010,direct-connect-spo2-sensors/S410S-010_img1.jpg,si
MED-6497,spo2_direct_connect_sensors,Multi-Site,S810-010,direct-connect-spo2-sensors/S810-010_img1.jpg,si
MED-6497,spo2_direct_connect_sensors,Neonate Soft,S310-010,direct-connect-spo2-sensors/S310-010_img1.jpg,si
MED-6497,spo2_direct_connect_sensors,Pediatric Clip,S110-010,direct-connect-spo2-sensors/S110-010_img1.jpg,si
MED-6497,spo2_direct_connect_sensors,Pediatric Soft,S110S-010,direct-connect-spo2-sensors/S110S-010_img1.jpg,si
MED-6498,spo2_direct_connect_sensors,Adult Clip,S410-01P0,direct-connect-spo2-sensors/S410-01P0_img1.jpg,si
MED-6498,spo2_direct_connect_sensors,Adult Soft,S410S-01P0,direct-connect-spo2-sensors/S410S-01P0_img1.jpg,si
MED-6498,spo2_direct_connect_sensors,Multi-Site,S810-01P0,direct-connect-spo2-sensors/S810-01P0_img1.jpg,si
MED-6498,spo2_direct_connect_sensors,Neonate Soft,S310-01P0,direct-connect-spo2-sensors/S310-01P0_img1.jpg,si
MED-6498,spo2_direct_connect_sensors,Pediatric Clip,S110-01P0,direct-connect-spo2-sensors/S110-01P0_img1.jpg,si
MED-6498,spo2_direct_connect_sensors,Pediatric Soft,S110S-01P0,direct-connect-spo2-sensors/S110S-01P0_img1.jpg,si
MED-6499,spo2_direct_connect_sensors,Adult Clip,S410-020,direct-connect-spo2-sensors/S410-020_img1.jpg,si
MED-6499,spo2_direct_connect_sensors,Adult Soft,S410S-020,direct-connect-spo2-sensors/S410S-020_img1.jpg,si
MED-6499,spo2_direct_connect_sensors,Multi-Site,S810-020,direct-connect-spo2-sensors/S810-020_img1.jpg,si
MED-6499,spo2_direct_connect_sensors,Neonate Soft,S310-020,direct-connect-spo2-sensors/S310-020_img1.jpg,si
MED-6499,spo2_direct_connect_sensors,Pediatric Clip,S110-020,direct-connect-spo2-sensors/S110-020_img1.jpg,si
MED-6499,spo2_direct_connect_sensors,Pediatric Soft,S110S-020,direct-connect-spo2-sensors/S110S-020_img1.jpg,si
MED-6500,spo2_direct_connect_sensors,Adult Clip,S410-030,direct-connect-spo2-sensors/S410-030_img1.jpg,si
MED-6500,spo2_direct_connect_sensors,Adult Soft,S410S-030,direct-connect-spo2-sensors/S410S-030_img1.jpg,si
MED-6500,spo2_direct_connect_sensors,Multi-Site,S810-030,direct-connect-spo2-sensors/S810-030_img1.jpg,si
MED-6500,spo2_direct_connect_sensors,Neonate Soft,S310-030,direct-connect-spo2-sensors/S310-030_img1.jpg,si
MED-6500,spo2_direct_connect_sensors,Pediatric Clip,S110-030,direct-connect-spo2-sensors/S110-030_img1.jpg,si
MED-6500,spo2_direct_connect_sensors,Pediatric Soft,S110S-030,direct-connect-spo2-sensors/S110S-030_img1.jpg,si
MED-6501,spo2_direct_connect_sensors,Adult Clip,S410-040,direct-connect-spo2-sensors/S410-040_img1.jpg,si
MED-6501,spo2_direct_connect_sensors,Adult Soft,S410S-040,direct-connect-spo2-sensors/S410S-040_img1.jpg,si
MED-6501,spo2_direct_connect_sensors,Multi-Site,S810-040,direct-connect-spo2-sensors/S810-040_img1.jpg,si
MED-6501,spo2_direct_connect_sensors,Neonate Soft,S310-040,direct-connect-spo2-sensors/S310-040_img1.jpg,si
MED-6501,spo2_direct_connect_sensors,Pediatric Clip,S110-040,direct-connect-spo2-sensors/S110-040_img1.jpg,si
MED-6501,spo2_direct_connect_sensors,Pediatric Soft,S110S-040,direct-connect-spo2-sensors/S110S-040_img1.jpg,si
MED-6502,spo2_direct_connect_sensors,Adult Clip,S410-050,direct-connect-spo2-sensors/S410-050_img1.jpg,si
MED-6502,spo2_direct_connect_sensors,Adult Soft,S410S-050,direct-connect-spo2-sensors/S410S-050_img1.jpg,si
